,name,link,address,postcode,phone_number,founded_year,summary_description,nums_employee,website,technology,industry_focus,similar_companies,company_id
907,Accenture Australia,https://au.linkedin.com/company/accentureaustralia,"Level 5 161 Collins Street, Melbourne VIC, Melbourne, Australia",3000,,1989.0,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialised skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.

Accenture employs more than 5,000 people in Australia, with offices in Sydney, Melbourne, Brisbane, Canberra, Adelaide and Perth as well as people working at client sites across Australia.",10001-0,https://www.accenture.com/au-en,,IT Services and IT Consulting,"[{'name': 'Accenture', 'link': 'https://ie.linkedin.com/company/accenture', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'KPMG Australia', 'link': 'https://au.linkedin.com/company/kpmg-australia', 'industry': 'Business Consulting and Services', 'location': 'Sydney, NSW'}, {'name': 'PwC Australia', 'link': 'https://au.linkedin.com/company/pwc-australia', 'industry': 'Business Consulting and Services', 'location': 'Sydney, NSW'}, {'name': 'Deloitte', 'link': 'https://www.linkedin.com/company/deloitte', 'industry': 'Business Consulting and Services', 'location': None}, {'name': 'EY', 'link': 'https://uk.linkedin.com/company/ernstandyoung', 'industry': 'Accounting', 'location': None}, {'name': 'Commonwealth Bank', 'link': 'https://au.linkedin.com/company/commonwealthbank', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'NAB', 'link': 'https://au.linkedin.com/company/nab', 'industry': 'Banking', 'location': 'Melbourne, Victoria'}, {'name': 'Infosys', 'link': 'https://in.linkedin.com/company/infosys', 'industry': 'IT Services and IT Consulting', 'location': 'Bangalore, Karnataka'}, {'name': 'Macquarie Group', 'link': 'https://au.linkedin.com/company/macquariegroup', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}]",
911,Smartabase,https://au.linkedin.com/company/fusions-sport-inc.,"Level 1, North Tower 339 Coronation Drive, Milton, Brisbane, QLD, Australia",4064,,2003.0,"Smartabase is the premier human performance optimization software platform for elite sports teams and military organizations. We combine flexible technology and deep expertise to collect, analyze and provide comprehensive, real-time knowledge and insights, enabling better decision making to drive performance. Unlike other companies, Smartabase brings customers into a global human performance community that is powering the industry forward.",51-200,https://smartabase.com/,"['Sports Performance', 'Data Analytics', 'Athlete Data Management', 'Performance Technologies', 'Athlete Management System', 'Elite Sports', 'Sports Science', 'Human Performance', 'Military', 'Tactical']",Software Development,"[{'name': 'VALD Performance', 'link': 'https://au.linkedin.com/company/vald-performance', 'industry': 'Wellness and Fitness Services', 'location': 'Brisbane, Queensland'}, {'name': 'Kitman Labs', 'link': 'https://ie.linkedin.com/company/kitman-labs', 'industry': 'Spectator Sports', 'location': None}, {'name': 'Catapult', 'link': 'https://au.linkedin.com/company/catapultsports', 'industry': 'Software Development', 'location': 'Melbourne, VIC'}, {'name': 'Teamworks', 'link': 'https://www.linkedin.com/company/teamworksapp', 'industry': 'IT Services and IT Consulting', 'location': 'Durham, NC'}, {'name': 'Movella Health & Sports', 'link': 'https://ca.linkedin.com/company/movella-health-sports', 'industry': 'Wellness and Fitness Services', 'location': 'Halifax, NS'}, {'name': 'STATSports', 'link': 'https://uk.linkedin.com/company/statsports', 'industry': 'Spectator Sports', 'location': None}, {'name': 'VALD', 'link': 'https://au.linkedin.com/company/vald', 'industry': 'Wellness and Fitness Services', 'location': 'Brisbane, Queensland'}, {'name': 'Sparta Science', 'link': 'https://www.linkedin.com/company/spartascience', 'industry': 'Software Development', 'location': 'Menlo Park, California'}, {'name': 'Grafted (Acquired by Teamworks)', 'link': 'https://www.linkedin.com/company/getgrafted', 'industry': 'Software Development', 'location': 'Charlotte, North Carolina'}, {'name': 'Retain Technologies', 'link': 'https://www.linkedin.com/company/retain-technologies', 'industry': 'Education Administration Programs', 'location': 'Scottsdale, Arizona'}]",
912,Catapult,https://au.linkedin.com/company/catapultsports,"75 High St, Melbourne, VIC, Australia",3181,,2006.0,"Catapult exists to unleash the potential of every athlete and team on earth. Operating at the intersection of sports science and analytics, Catapult products are designed to optimize performance, avoid injury, and quantify return to play.Catapult has over 400 staff based across 24 locations worldwide, working with more than 3,200 elite teams in 137 countries globally. To learn more about Catapult and to inquire about accessing performance analytics for a team or athlete, visit us at catapultsports.com.Catapult Group International Limited (CAT) is listed on the Australian Stock Exchange.",201-500,https://bit.ly/3vd6yzX,"['Wearable technology', 'Performance', 'Sports science', 'Sports technology', 'Sports analytics', 'Tactical analysis', 'Software', 'Athlete management']",Computer Software,"[{'name': 'GPSports Systems', 'link': 'https://www.linkedin.com/company/gpsports', 'industry': 'Sports', 'location': None}, {'name': 'PlayerTek', 'link': 'https://www.linkedin.com/company/playertek', 'industry': 'Computer Software', 'location': None}, {'name': 'XOS', 'link': 'https://www.linkedin.com/company/xos-digital', 'industry': 'Computer Software', 'location': None}]",
923,CCUBE,https://au.linkedin.com/company/ccube-integrated-wealth,"10 Barrack St, Wynyard, New South Wales, Australia",2000,,2015.0,"CCUBE is a next generation financial planning and wealth management solution designed to support financial advisers drive efficiency and productivity in an increasingly client centric world. CCUBE has been created with extensive out-of-the-box content which allows for rapid deployment and can also be customised to address particular requirements of your financial planning practice, and to solve specific problems faced by you and your employees on a daily basis. CCUBE has been designed and developed using the latest technology to offer convenience and flexibility by offering:•	Cloud based platform•	Out-of-the-box content enabling rapid deployment•	CRM with email and SMS integration•	Simple to use visual workflows with process automation•	Drag and drop document and template management•	Advice tools and monthly projections•	Data feeds and portfolio reporting•	Industry leading risk and superannuation research•	Client portal to enable real time collaboration•	An array of third party integrations……Our clients find CCUBE to be a powerful and intuitive financial planning system that enables productivity and efficiency gains in their business and increases their clients happiness.",51-200,http://ccube.com.au/,"['Advice Wizard', 'Workflows', 'Templates and Document Management', 'Portfolio Mangement', 'Financial Calculators', 'Client Management', 'Bulk Doucment Management', 'Client Portal', 'Out-of-the-box content', 'Drag & Drop Functionality', 'Open API and Third Party Integration', 'Advice Tools', 'SMS Integration', 'Leading risk and superannuation research', 'financial planning', 'financial services']",Information Technology & Services,"[{'name': 'CCube Solutions', 'link': 'https://www.linkedin.com/company/ccube-solutions', 'industry': 'IT Services and IT Consulting', 'location': 'Milton Keynes, Bucks.'}, {'name': 'Openmarkets Group', 'link': 'https://au.linkedin.com/company/openmarketsgroup', 'industry': 'Financial Services', 'location': 'Sydney, New South Wales'}, {'name': 'CCUBE Fintech Global Services Pvt Ltd', 'link': 'https://au.linkedin.com/company/ccube-fintech', 'industry': 'IT Services and IT Consulting', 'location': 'Hyderabad, Telangana'}, {'name': 'C-CUBE | Smart cGMP Modular Facility for Life Sciences.', 'link': 'https://vn.linkedin.com/company/c-cube-vn', 'industry': 'Pharmaceutical Manufacturing', 'location': 'Hanoi, .'}, {'name': 'Progressive Minds', 'link': 'https://in.linkedin.com/company/progressive-minds', 'industry': 'Education Administration Programs', 'location': 'Delhi, Delhi'}, {'name': 'MycroBites', 'link': 'https://in.linkedin.com/company/mycrobites', 'industry': 'Primary and Secondary Education', 'location': 'Delhi, Delhi'}, {'name': 'IIF - Invest Inya Farmer', 'link': 'https://au.linkedin.com/company/invest-inya-farmer-iif', 'industry': 'Farming', 'location': 'Mansfield, VIC'}, {'name': 'Ccube', 'link': 'https://www.linkedin.com/company/ccubeindia', 'industry': 'Motor Vehicle Manufacturing', 'location': None}, {'name': 'SuperRatings', 'link': 'https://au.linkedin.com/company/superratings-pty-ltd', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'MSRcosmos LLC', 'link': 'https://www.linkedin.com/company/msrcosmos-llc', 'industry': 'IT Services and IT Consulting', 'location': 'Stockton, CA'}]",
931,Spriggy,https://au.linkedin.com/company/spriggyau,"161 Castlereagh St, Sydney, NSW, Australia",2000,,2015.0,"Spriggy is a family app designed to help parents and children manage their money together.  Children get their own prepaid VISA card and parents can track their child's spending, set savings goals and organise regular pocket money payments in the app.We want to empower children to make smarter money choices and give them the independence to do so in a completely safe environment.  In a digital age, where money is less tangible than ever, Spriggy represents the future of financial education.",51-200,http://www.spriggy.com.au,Financial Education,E-learning,"[{'name': 'Spaceship', 'link': 'https://au.linkedin.com/company/spaceship-au', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'Superhero', 'link': 'https://au.linkedin.com/company/superheroau', 'industry': 'Financial Services', 'location': None}, {'name': 'Eucalyptus', 'link': 'https://au.linkedin.com/company/eucalyptusvc', 'industry': 'Internet Publishing', 'location': 'Haymarket, New South Wales'}, {'name': 'Up', 'link': 'https://au.linkedin.com/company/upbanking', 'industry': 'Banking', 'location': None}, {'name': 'Linktree', 'link': 'https://au.linkedin.com/company/linktree', 'industry': 'Internet Publishing', 'location': 'Melbourne, Victoria'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Zip Co', 'link': 'https://au.linkedin.com/company/zip-co-limited', 'industry': 'Financial Services', 'location': None}, {'name': 'Brighte', 'link': 'https://au.linkedin.com/company/brighte', 'industry': 'Internet Publishing', 'location': 'Sydney, New South Wales'}, {'name': 'Prospa.', 'link': 'https://au.linkedin.com/company/prospa', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}]",
937,Immutable,https://au.linkedin.com/company/immutable-1,"King St, Sydney, New South Wales, Australia",,,2018.0,"We are making digital worlds real.

Immutable is advancing the world of NFTs through Immutable X, an industry-leading NFT minting and trading platform and Immutable Studios, an NFT game development studio.

We’re hiring https://www.immutable.com/careers",201-500,https://immutable.com/,,Software Development,"[{'name': 'Zeller', 'link': 'https://au.linkedin.com/company/zeller', 'industry': 'Financial Services', 'location': 'Melbourne, Victoria'}, {'name': 'Employment Hero', 'link': 'https://au.linkedin.com/company/employment-hero', 'industry': 'Human Resources Services', 'location': 'Sydney, NSW'}, {'name': 'Dovetail', 'link': 'https://au.linkedin.com/company/heydovetail', 'industry': 'Software Development', 'location': None}, {'name': 'Scalapay', 'link': 'https://ie.linkedin.com/company/scalapay', 'industry': 'Financial Services', 'location': 'Dublin City, County Dublin'}, {'name': 'AirTree', 'link': 'https://au.linkedin.com/company/airtree-ventures', 'industry': 'Venture Capital and Private Equity Principals', 'location': 'Surry Hills, New South Wales'}, {'name': 'Linktree', 'link': 'https://au.linkedin.com/company/linktree', 'industry': 'Software Development', 'location': 'Melbourne, Victoria'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Illuvium.io', 'link': 'https://au.linkedin.com/company/illuvium-io', 'industry': 'Computer Games', 'location': 'Sydney, New South Wales'}, {'name': 'Eucalyptus', 'link': 'https://au.linkedin.com/company/eucalyptusvc', 'industry': 'Technology, Information and Internet', 'location': 'Sydney, New South Wales'}, {'name': 'Polygon Labs', 'link': 'https://in.linkedin.com/company/polygonlabs', 'industry': 'IT Services and IT Consulting', 'location': 'Santa Monica, CA'}]",
938,Easygo,https://au.linkedin.com/company/easygo-au,", Melbourne, , Australia",,,2016.0,"Easygo is a well-established global tech startup, we pride ourselves on being early adopters, progressive in our approach and adaptable to the ever-changing technology landscape. Our core focus is in the online gaming space building well-designed casino games, crypto platforms, and sportsbooks built on our ""provably fair""​ algorithms. The products we build are used by millions of people around the world including Drake and you’ll see their logos on an EPL team, the UFC, advocated by e-gamers and in a number of other sporting places.The last 2 years have been huge for us, we have grown from 20 to 100+ team members. Whilst the products that we build are global we have two amazing offices in the same building in the heart of the CBD with all the bells and whistles you could ever want. Including an in-house barista, pool, and table tennis tables, PS5 and Nintendo Switches, a meditation room, help yourself drinks fridge and snack wall, catered breakfast daily, weekly massages and team lunch.  ",51-200,http://www.easygo.io,"['Gambling', 'Software Development', 'Marketing', 'Design', 'Gaming', 'Games Development', 'ReactJS', 'NodeJS', 'Casino games', 'Sportsbook', 'Online Marketing', 'betting', 'crypto', 'bitcoin', 'web3']",Computer Software,"[{'name': 'Stake', 'link': 'https://www.linkedin.com/company/stakecasino', 'industry': 'Gambling Facilities and Casinos', 'location': None}, {'name': 'MEBIT d.o.o.', 'link': 'https://rs.linkedin.com/company/mebitdoo', 'industry': 'Internet Publishing', 'location': 'Trstenik, Sumadija'}, {'name': 'PointsBet', 'link': 'https://www.linkedin.com/company/pointsbet', 'industry': 'IT Services and IT Consulting', 'location': 'Denver, Colorado'}, {'name': 'PlayUp Limited', 'link': 'https://au.linkedin.com/company/playup-ltd', 'industry': 'Gambling Facilities and Casinos', 'location': None}, {'name': 'Stake', 'link': 'https://au.linkedin.com/company/stake---shop-for-shares', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'Appscore', 'link': 'https://au.linkedin.com/company/appscore', 'industry': 'Software Development', 'location': 'Cremorne, Victoria'}, {'name': 'EasyGo', 'link': 'https://ie.linkedin.com/company/easygocharging', 'industry': 'IT Services and IT Consulting', 'location': 'Maynooth, Kildare'}, {'name': 'Betfair Australia', 'link': 'https://au.linkedin.com/company/betfair-australia', 'industry': 'Gambling Facilities and Casinos', 'location': 'Melbourne, Victoria'}, {'name': 'The Circle Back Initiative', 'link': 'https://au.linkedin.com/company/the-circle-back-initiative', 'industry': 'Human Resources Services', 'location': None}, {'name': 'Sportsbet', 'link': 'https://au.linkedin.com/company/sportsbet', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, VIC'}]",
951,Nomura Research Institute Australia Pty Ltd,https://au.linkedin.com/company/nomura-research-institute-australia-pty-ltd,"Level 57 MLC Centre, 19-29 Martin Place, Sydney, New South Wales, Australia",2000,,2017.0,"As an Australia regional management company of NRI group, NRI AU manages NRI group’s Australian businesses and companies including but not limited to ASG Group Limited. The business function includes corporate governance, financial consolidation, M&A, and internal audit activities in the region.",1001-5000,https://www.nri.com/en/company/map/overseas/asia/nriau,"['Financial IT Solutions', 'Industrial IT Soutions', 'IT Platform Services', 'Consulting', 'Managed Service', 'Research']",IT Services and IT Consulting,"[{'name': 'NRI (Nomura Research Institute)', 'link': 'https://jp.linkedin.com/company/nri-nomura-research-institute', 'industry': 'IT Services and IT Consulting', 'location': 'Chiyoda-ku, Tokyo'}, {'name': 'Planit Testing', 'link': 'https://au.linkedin.com/company/planit-testing', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Nomura', 'link': 'https://jp.linkedin.com/company/nomura', 'industry': 'Financial Services', 'location': None}, {'name': 'Nomura Research Institute Indonesia', 'link': 'https://id.linkedin.com/company/nomura-research-institute-indonesia', 'industry': 'IT Services and IT Consulting', 'location': 'Jakarta, Jakarta'}, {'name': 'Nomura Research Institute Singapore', 'link': 'https://sg.linkedin.com/company/nomura-research-institute-singapore-pte-ltd', 'industry': 'Business Consulting and Services', 'location': 'Singapore, Singapore'}, {'name': 'AUSIEX', 'link': 'https://au.linkedin.com/company/ausiex', 'industry': 'Financial Services', 'location': 'Sydney, NSW'}, {'name': 'SEQA', 'link': 'https://nz.linkedin.com/company/seqa', 'industry': 'IT Services and IT Consulting', 'location': 'Wellington, Wellington Region'}, {'name': 'NRI (Nomura Research Institute) Singapore -Manila Branch', 'link': 'https://ph.linkedin.com/company/nri-nomura-research-institute-singapore-manila-branch', 'industry': 'Business Consulting and Services', 'location': 'Makati City, Metro Manila'}, {'name': 'Qual IT', 'link': 'https://nz.linkedin.com/company/qual-it', 'industry': 'IT Services and IT Consulting', 'location': 'P O Box 5280, Wellington'}, {'name': 'NRIセキュアテクノロジーズ株式会社 / NRI SecureTechnologies, Ltd.', 'link': 'https://jp.linkedin.com/company/nri-securetechnologies-ltd', 'industry': 'Computer and Network Security', 'location': '千代田区, 東京都'}]",
958,Cisco,https://www.linkedin.com/company/cisco,"101 Collins St, Melbourne, VIC, Australia",3000,,,"Cisco (NASDAQ: CSCO) enables people to make powerful connections--whether in business, education, philanthropy, or creativity. Cisco hardware, software, and service offerings are used to create the Internet solutions that make networks possible--providing easy access to information anywhere, at any time. 

Cisco was founded in 1984 by a small group of computer scientists from Stanford University. Since the company's inception, Cisco engineers have been leaders in the development of Internet Protocol (IP)-based networking technologies. Today, with more than 71,000 employees worldwide, this tradition of innovation continues with industry-leading products and solutions in the company's core development areas of routing and switching, as well as in advanced technologies such as home networking, IP telephony, optical networking, security, storage area networking, and wireless technology. In addition to its products, Cisco provides a broad range of service offerings, including technical support and advanced services. 

Cisco sells its products and services, both directly through its own sales force as well as through its channel partners, to large enterprises, commercial businesses, service providers, and consumers.",10001-0,http://www.cisco.com,"['Networking', 'Wireless', 'Security', 'Unified Communication', 'Cloud', 'Collaboration', 'Data Center', 'Virtualization', 'Unified Computing Systems']",Software Development,"[{'name': 'Microsoft', 'link': 'https://www.linkedin.com/company/microsoft', 'industry': 'Software Development', 'location': 'Redmond, Washington'}, {'name': 'IBM', 'link': 'https://www.linkedin.com/company/ibm', 'industry': 'IT Services and IT Consulting', 'location': 'Armonk, New York, NY'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Oracle', 'link': 'https://www.linkedin.com/company/oracle', 'industry': 'IT Services and IT Consulting', 'location': 'Austin, Texas'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Deloitte', 'link': 'https://www.linkedin.com/company/deloitte', 'industry': 'Business Consulting and Services', 'location': None}, {'name': 'Accenture', 'link': 'https://ie.linkedin.com/company/accenture', 'industry': 'IT Services and IT Consulting', 'location': None}, {'name': 'Salesforce', 'link': 'https://www.linkedin.com/company/salesforce', 'industry': 'Software Development', 'location': 'San Francisco, CA'}, {'name': 'VMware', 'link': 'https://www.linkedin.com/company/vmware', 'industry': 'Software Development', 'location': 'Palo Alto, CA'}, {'name': 'Apple', 'link': 'https://www.linkedin.com/company/apple', 'industry': 'Computers and Electronics Manufacturing', 'location': 'Cupertino, California'}]",
959,Twitter,https://www.linkedin.com/company/twitter,"2 Park St, Clovelly, New South Wales, Australia",2031,,2006.0,"Life’s not about a job, it’s about purpose. We believe real change starts with conversation. Here, your voice matters. Come as you are and together we’ll do what’s right (not what’s easy) to serve the public conversation. #JoinTheFlock",5001-10000,https://careers.twitter.com,Real-time information,Computer Software,"[{'name': 'Meta', 'link': 'https://www.linkedin.com/company/meta', 'industry': 'Software Development', 'location': 'Menlo Park, CA'}, {'name': 'Google', 'link': 'https://www.linkedin.com/company/google', 'industry': 'Software Development', 'location': 'Mountain View, CA'}, {'name': 'Netflix', 'link': 'https://www.linkedin.com/company/netflix', 'industry': 'Entertainment Providers', 'location': 'Los Gatos, CA'}, {'name': 'Spotify', 'link': 'https://se.linkedin.com/company/spotify', 'industry': 'Musicians', 'location': 'Stockholm, Stockholm County'}, {'name': 'Instagram', 'link': 'https://www.linkedin.com/company/instagram', 'industry': 'Software Development', 'location': None}, {'name': 'Apple', 'link': 'https://www.linkedin.com/company/apple', 'industry': 'Computers and Electronics Manufacturing', 'location': 'Cupertino, California'}, {'name': 'LinkedIn', 'link': 'https://www.linkedin.com/company/linkedin', 'industry': 'Software Development', 'location': 'Sunnyvale, CA'}, {'name': 'TikTok', 'link': 'https://www.linkedin.com/company/tiktok', 'industry': 'Entertainment Providers', 'location': 'Los Angeles, California'}, {'name': 'Amazon', 'link': 'https://www.linkedin.com/company/amazon', 'industry': 'Software Development', 'location': 'Seattle, WA'}, {'name': 'Microsoft', 'link': 'https://www.linkedin.com/company/microsoft', 'industry': 'Software Development', 'location': 'Redmond, Washington'}]",
960,Transpire (acquired by CI&T),https://au.linkedin.com/company/transpireau,"99 King St, Melbourne, Victoria, Australia",3000,,,Transpire is now CI&T.,51-200,https://www.transpire.com,"['Web development', 'Mobile Application Development', 'Design Thinking', 'Customer Experience', 'Digital Business Strategy', 'Quality Assurance', 'Managed Application Services', 'IoT', 'Emerging Technology', 'Agile Transformation and Coaching']",Information Technology & Services,"[{'name': 'CI&T', 'link': 'https://www.linkedin.com/company/ciandt', 'industry': 'IT Services and IT Consulting', 'location': 'New York, NY'}, {'name': 'Smorgon Capital', 'link': 'https://au.linkedin.com/company/smorgoncapital', 'industry': 'Venture Capital and Private Equity Principals', 'location': None}, {'name': 'Concentrix Tigerspike', 'link': 'https://www.linkedin.com/company/concentrixcatalyst', 'industry': 'IT Services and IT Consulting', 'location': 'Beaverton, OR'}, {'name': 'Arq Group', 'link': 'https://au.linkedin.com/company/arqgroup', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'IE', 'link': 'https://au.linkedin.com/company/ie-company', 'industry': 'IT Services and IT Consulting', 'location': 'Richmond, Victoria'}, {'name': 'Bound', 'link': 'https://au.linkedin.com/company/boundinteractive', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Transpire Technologies', 'link': 'https://ca.linkedin.com/company/transpire-canada', 'industry': 'IT Services and IT Consulting', 'location': 'Mississauga, Ontario'}, {'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'UPowr', 'link': 'https://au.linkedin.com/company/upowr', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}, {'name': 'REA Group', 'link': 'https://au.linkedin.com/company/rea-group', 'industry': 'Online Audio and Video Media', 'location': 'Richmond, Victoria'}]",
962,"Lexicon, an Endava company",https://au.linkedin.com/company/lexicon-digital,"Level 10, 455 Bourke Street, Melbourne, Victoria, Australia",3000,,2016.0,"Lexicon partners with you to build new digital solutions or accelerate the transformation of your existing business. We drive success by co-creating, accelerating and investing in software that matters.

Together we change the world through software.

Create your digital advantage.",51-200,https://lexicon.com.au/,"['Agile Software Delivery', 'Organisational Change', 'DevOps', 'Lean', 'Design Thinking', 'Program Management', 'Project Management', 'Architecture', 'Agile', 'Coaching', 'Product Design', 'Software Development', 'Mobile Development', 'UX Design', 'UI Design', 'Accelerate', 'Co-create', 'Digital Ventures', 'Strategy', 'Digital Transformation', 'Platform Acceleration']",IT Services and IT Consulting,"[{'name': 'Endava', 'link': 'https://uk.linkedin.com/company/endava', 'industry': 'IT Services and IT Consulting', 'location': 'London, UK'}, {'name': 'LAB3', 'link': 'https://au.linkedin.com/company/lab3solutions', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Willow', 'link': 'https://au.linkedin.com/company/willowinc', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'GROW Inc', 'link': 'https://au.linkedin.com/company/grow-inc', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Linktree', 'link': 'https://au.linkedin.com/company/linktree', 'industry': 'Software Development', 'location': 'Melbourne, Victoria'}, {'name': 'Shippit', 'link': 'https://au.linkedin.com/company/shippit', 'industry': 'Software Development', 'location': 'Sydney, New South Wales'}, {'name': 'Brighte', 'link': 'https://au.linkedin.com/company/brighte', 'industry': 'Financial Services', 'location': 'Sydney, New South Wales'}, {'name': 'Mr Yum', 'link': 'https://au.linkedin.com/company/mr-yum', 'industry': 'Hospitality', 'location': 'Collingwood, Victoria'}, {'name': 'Thinkerbell', 'link': 'https://au.linkedin.com/company/thinkerbellagency', 'industry': 'Advertising Services', 'location': None}, {'name': 'Impressive', 'link': 'https://au.linkedin.com/company/impressive-digital', 'industry': 'Advertising Services', 'location': 'South Yarra, Victoria'}]",
964,Versent,https://au.linkedin.com/company/versent,"Level 5 145 Russell Street, Melbourne, VIC, Australia",3000,,2014.0,"Versent provides technology transformation services for enterprise clients.  We focus on building strong foundations in Security, Automation & Cloud, enabling businesses to deliver their best. This ensures delivery of APIs, mobile applications, digital content, micro-services and data services with an unprecedented level of quality, elasticity and speed.

Our pedigree in Cloud, Identity, Security, API’s, DevOps, Full Stack Automation, Digital, Microservices , Data and IoT provides relevant, local and always on-shore expertise. From redesigning operating models to architecture/design, thorough building, testing, implementation and operations, Versent’s specialised teams help enterprises think and act like start-ups.",201-500,http://www.versent.com.au/,"['Security', 'Automation', 'Cloud', 'Managed Services', 'AWS', 'DevOps', 'Identity Management', 'Ping', 'Apigee', 'IoT', 'API', 'Microservices', 'Data', 'Product Development']",IT Services and IT Consulting,"[{'name': 'Stax', 'link': 'https://au.linkedin.com/company/staxio', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, VIC'}, {'name': 'Contino', 'link': 'https://uk.linkedin.com/company/contino', 'industry': 'IT Services and IT Consulting', 'location': 'London, Greater London'}, {'name': 'Servian', 'link': 'https://au.linkedin.com/company/servian', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Mantel Group', 'link': 'https://au.linkedin.com/company/mantel-group', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'Arq Group', 'link': 'https://au.linkedin.com/company/arqgroup', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}, {'name': 'CMD Solutions', 'link': 'https://au.linkedin.com/company/cmd-solutions-australia', 'industry': 'IT Services and IT Consulting', 'location': 'Sydney, NSW'}, {'name': 'Amazon Web Services (AWS)', 'link': 'https://www.linkedin.com/company/amazon-web-services', 'industry': 'IT Services and IT Consulting', 'location': 'Seattle, WA'}, {'name': 'Atlassian', 'link': 'https://au.linkedin.com/company/atlassian', 'industry': 'Software Development', 'location': 'Sydney, NSW'}, {'name': 'Canva', 'link': 'https://au.linkedin.com/company/canva', 'industry': 'Software Development', 'location': 'Surry Hills, New South Wales'}, {'name': 'Vibrato', 'link': 'https://au.linkedin.com/company/vibrato', 'industry': 'IT Services and IT Consulting', 'location': 'Melbourne, Victoria'}]",
